ids,p0,p1,p2,p3,p4,faps,npoints,scores
10003298,0.12395642,0.11025272,0.16489113,0.0993041,0.1415504,0.0,196,[ 0.84099229  0.69759008  0.63631802  0.6222392   0.59051692]
10004892,0.67255034,0.40166242,1.93840528,2.05398179,0.6584545,0.0,269,[ 0.63164602  0.58364917  0.58737567  0.56830275  0.44012123]
10013411,0.55531032,1.25296953,4.95099363,0.8300996,0.26290897,8.12868816702e-09,170,[ 0.31363337  0.28285448  0.27889871  0.2470735   0.245965  ]
10021274,0.57692534,0.26765987,3.71149489,1.36872799,0.36584945,0.0,214,[ 0.77834094  0.71515482  0.65513393  0.64249661  0.61034608]
10022663,0.61596051,0.27576773,2.63650582,0.38077768,1.61097328,0.0,246,[ 0.66118743  0.60449434  0.58258006  0.49183549  0.47147085]
10025796,0.13792536,0.1905659,0.10807237,0.12116724,0.16006328,0.0,233,[ 0.8464671   0.74438668  0.66679967  0.6521688   0.63789   ]
10028253,1.24479981,0.83376303,0.35637222,0.51014312,0.31229131,0.284525308212,38,[ 0.53949973  0.52878376  0.50674353  0.50211904  0.4980772 ]
10030349,0.54508051,5.94647283,1.1982067,0.35244299,0.2605976,0.0,255,[ 0.69470087  0.63668109  0.59396876  0.55630207  0.54702975]
10032668,0.35841144,0.20864418,1.27011494,0.26365474,0.55949456,0.0,193,[ 0.91677133  0.7862988   0.76952638  0.73107716  0.71414277]
10038903,0.49668488,0.33155452,0.24900188,0.98681284,0.19925144,0.0,227,[ 0.59671865  0.55601654  0.50742191  0.49865544  0.47537917]
10040133,0.61053868,0.27467881,0.3786916,1.57447166,0.37909625,0.0,257,[ 0.74754281  0.69900944  0.65470763  0.63015857  0.61184825]
10040491,0.2837113,0.65703537,0.39652337,0.18091559,0.39608283,0.0,228,[ 0.38313168  0.3579914   0.33763143  0.31773235  0.31701012]
10045187,0.56958632,4.04651179,0.26606867,0.36252809,1.32339583,0.0,229,[ 0.73774262  0.64124289  0.59423635  0.58620591  0.56154292]
10045615,0.28508446,0.66445968,0.39920304,0.18147174,1.99110924,0.0,101,[ 0.87594853  0.79664409  0.75034656  0.70569005  0.68501321]
10046720,0.62603247,0.38460621,0.27776691,2.46625126,1.67425303,0.0,136,[ 0.8004407   0.75256498  0.75063025  0.65847809  0.66335618]
10047498,0.4900844,0.32859683,0.24732762,0.96110656,0.96367908,0.0,221,[ 0.72196595  0.69590078  0.6341702   0.60111889  0.59145962]
1004849,0.45846473,0.31407563,0.84858508,5.60490495,0.23900787,0.0,607,[ 0.54674568  0.51645541  0.50195052  0.4651089   0.45569875]
1005497,0.65360499,1.89665093,0.39483477,2.11520377,0.28306798,0.0,607,[ 0.71343451  0.66801192  0.59725896  0.58221472  0.57665236]
10064356,0.62826936,1.69804744,0.27821079,0.38585655,0.38544049,0.0,291,[ 0.66441611  0.64175421  0.63460297  0.62489621  0.60711965]
10066464,0.66497343,1.99535891,2.00396522,0.39895845,1.99330648,0.0,274,[ 0.79133998  0.7526781   0.74328798  0.75348199  0.73345452]
10071455,0.29381308,0.22694935,0.41653035,0.41605763,0.71390073,0.0,269,[ 0.50730155  0.48798939  0.45681312  0.44615604  0.44227899]
10084768,0.64621429,0.39212681,1.83575543,2.19645426,1.82654987,0.0,388,[ 0.7364555   0.6966191   0.66077337  0.65818621  0.62339682]
10085065,0.33749046,0.25215645,0.51012852,1.0413367,0.50941048,0.0,444,[ 0.9096962   0.84405408  0.79038544  0.73914728  0.70257674]
10086396,0.67123565,2.05315817,0.40119779,1.9495266,1.93923359,0.0,433,[ 0.78644339  0.73839638  0.71188208  0.62866942  0.62338342]
10089441,0.29940299,0.18717061,0.23027144,0.74780785,0.4278575,0.0,219,[ 0.93505486  0.80023513  0.73317372  0.71191285  0.62986613]
1009459,0.12294416,0.14023202,0.109451,0.16310505,0.14017863,0.0,593,[ 0.79175283  0.71125993  0.64842914  0.63335369  0.58932499]
10099492,0.13675304,0.18833385,0.10735173,0.12026189,0.15841703,0.0,214,[ 0.8828854   0.76335939  0.76392734  0.65786238  0.63673012]
10100966,0.61614241,2.63338323,0.27580351,0.38084368,0.21605218,0.0,168,[ 0.78212957  0.66866613  0.65463368  0.64336171  0.57613504]
10101561,0.1398328,0.10924007,0.19422605,0.1226369,0.16263743,0.0,137,[ 0.8615269   0.78097375  0.7095378   0.68148762  0.6409313 ]
10102166,0.12194511,0.16135123,0.13893449,0.19249694,0.09800879,0.0,213,[ 0.61972277  0.5792499   0.53905879  0.50858678  0.44454195]
10113493,0.39289263,0.21987692,1.84352831,0.28206761,0.64830959,0.0,153,[ 0.92039841  0.85810272  0.7844923   0.74118979  0.73545989]
10114059,0.55078364,0.2618928,5.34349751,1.23025142,0.35481466,0.0,165,[ 0.77467153  0.72792593  0.70573468  0.60397996  0.60318365]
10116555,0.51242636,0.25289323,1.05403261,0.33849804,0.94874968,0.0,178,[ 0.70228331  0.61820364  0.60563769  0.58918719  0.57969635]
10123919,0.62712084,2.44994648,0.27798127,1.68963503,0.3854154,0.0,208,[ 0.76482208  0.67969337  0.66680606  0.57214674  0.55057278]
10127760,0.13724974,0.12064556,0.18927782,0.15908415,0.10765708,0.0,225,[ 0.84054707  0.79877195  0.66653296  0.65548604  0.61150558]
10127904,0.27425859,0.37829273,0.6084877,1.56086567,0.21510246,1.36398670136e-11,217,[ 0.30010421  0.2877987   0.27131759  0.25255841  0.24129026]
10132759,0.24205565,0.31964038,0.19477838,0.16302431,0.9408322,1.73987502183e-09,260,[ 0.22776138  0.20064016  0.18637957  0.17992914  0.16899984]
1013374,0.20842917,0.14846478,0.16982846,0.1623256,0.17239557,0.000449112226695,30,[ 0.78554282  0.76271609  0.743295    0.72090685  0.71049062]
10135800,0.28114713,0.64345809,0.39152656,0.17986882,0.21944965,0.0,138,[ 0.72247957  0.64879401  0.59647192  0.59169326  0.52837323]
1013889,0.504567,0.33505259,1.02128473,1.0184794,0.25096416,0.0,228,[ 0.67543802  0.59514684  0.58547472  0.56697685  0.54320679]
10141859,0.68858761,0.40733453,0.28943561,2.22462227,0.40778689,0.0,484,[ 0.73692943  0.70227604  0.66904221  0.63898735  0.61452953]
1014960,0.18133304,0.28474002,0.13302343,0.22163335,0.15343382,0.0,166,[ 0.83375052  0.71645593  0.68524813  0.65845689  0.65120786]
10157893,0.11439762,0.10262535,0.12922064,0.14839626,0.12917471,0.0,485,[ 0.84378674  0.77508068  0.73035723  0.66664413  0.64069567]
10164624,0.14831552,0.1291135,0.17422662,0.21098752,0.17414444,0.0,252,[ 0.87171505  0.80673988  0.79282397  0.74612923  0.69403145]
10166691,0.13789757,0.12114603,0.16002511,0.19051214,0.10805545,0.0,265,[ 0.84259678  0.76912886  0.73424287  0.68901322  0.63467797]
10178590,0.05217971,0.04958525,0.05506068,0.04723658,0.05826893,0.0,283,[ 0.6800689   0.67906042  0.57021657  0.56908451  0.56845018]
10178648,0.13176848,0.11638963,0.1518298,0.17900762,0.10425548,0.0,112,[ 0.64240497  0.58645723  0.51650968  0.47493092  0.43608818]
10183351,0.37460571,0.2723153,1.49984606,0.59997677,0.59899205,0.0,259,[ 0.91083176  0.85767791  0.82323914  0.81488246  0.78269195]
1018967,0.1242318,0.09948036,0.16537974,0.14190974,0.11047023,0.0,271,[ 0.77801828  0.62776938  0.6055104   0.56783803  0.54736844]
1019294,0.38685153,1.71751193,0.21797215,0.27872998,0.63201875,0.0,278,[ 0.54334151  0.46678926  0.44172145  0.41920376  0.4114913 ]
10195209,0.13965718,0.12250196,0.16239976,0.19388908,0.1623287,0.0,216,[ 0.85511563  0.79021275  0.75409091  0.7260264   0.71165259]
10212012,0.46929829,0.88644128,7.8084097,0.31939848,0.31912695,0.0,209,[ 0.71785824  0.72325741  0.63145165  0.63232892  0.59363143]
10215128,0.54373687,1.19557419,0.35188234,6.11030301,1.19177409,0.0,180,[ 0.74979434  0.6721541   0.65984828  0.60848278  0.60247537]
